date,restaurant,planned_hours,actual_hours,budget,sells
2016-02-17,Jack Rabbit,70,143,4877.2,828.93
2016-02-18,Copacabana,43,230,3207.56,2895.06
2016-02-18,Noodle Bar,6,189,4597.41,2702.68
2016-02-18,Jack Rabbit,281,175,3733.97,2088.61
2016-02-19,Copacabana,144,154,1361.48,1731.12
2016-02-19,Noodle Bar,239,173,4634.48,1866.27
2016-02-19,Jack Rabbit,205,269,1436.42,1911.99
2016-02-20,Copacabana,92,159,2949.83,3483.91
2016-02-20,Noodle Bar,168,13,488.57,591.9
2016-02-20,Jack Rabbit,195,228,2031.78,1421.92
2016-02-21,Copacabana,55,41,2179.26,3946.69
2016-02-21,Noodle Bar,28,245,1972.12,423.29
2016-02-21,Jack Rabbit,32,31,947.3,669.83
2016-02-22,Copacabana,285,221,182.47,4366.33
2016-02-22,Noodle Bar,238,160,3283.32,1889.68
2016-02-22,Jack Rabbit,254,160,2639.89,15.94
2016-02-23,Copacabana,214,79,1972.06,4424.2
2016-02-23,Noodle Bar,131,55,37.41,2482.65
2016-02-23,Jack Rabbit,134,253,3655.7,3223.1
2016-02-24,Copacabana,78,4,1608.15,3484.95
2016-02-24,Noodle Bar,259,152,295.66,1505.28
2016-02-24,Jack Rabbit,185,168,1295.69,4256.38
2016-02-25,Copacabana,112,3,1418.51,4475.41
2016-02-25,Noodle Bar,292,250,2559.13,4236.31
2016-02-25,Jack Rabbit,155,189,1241.81,924.43
2016-02-26,Copacabana,220,27,1448.41,1093.86
2016-02-26,Noodle Bar,119,13,642.67,4398.4
2016-02-26,Jack Rabbit,126,193,1307.69,496.35
2016-02-27,Copacabana,72,90,2453.31,3040.97
2016-02-27,Noodle Bar,153,271,3092.85,2419.7
2016-02-27,Jack Rabbit,121,213,1031.75,3714.37
2016-02-28,Copacabana,229,80,3856.09,1708.96
2016-02-28,Noodle Bar,227,162,1106.3,371.7
2016-02-28,Jack Rabbit,290,90,3302.07,982.24
2016-02-29,Copacabana,204,268,4939.3,2668.13
2016-02-29,Noodle Bar,169,209,2646.56,2588.92
2016-02-29,Jack Rabbit,62,90,3969.69,1849.67
2016-03-01,Copacabana,51,106,4130.85,4134.45
2016-03-01,Noodle Bar,120,51,755.73,3691.24
2016-03-01,Jack Rabbit,238,193,2902.63,3255.39
2016-03-02,Copacabana,166,276,2717.67,2041.13
2016-03-02,Noodle Bar,19,132,896.69,1036.43
2016-03-02,Jack Rabbit,253,265,709.07,2485.27
2016-03-03,Copacabana,27,272,4963.86,1950.03
2016-03-03,Noodle Bar,263,126,1316.82,2152.34
2016-03-03,Jack Rabbit,180,154,4670.84,2548.84
2016-03-04,Copacabana,16,274,3767.75,3185.75
2016-03-04,Noodle Bar,152,58,3770.36,4212.16
2016-03-04,Jack Rabbit,181,109,1000.23,3707.94
2016-03-05,Copacabana,171,140,1383.06,1594.48
2016-03-05,Noodle Bar,114,65,939.17,1839.36
2016-03-05,Jack Rabbit,279,245,938.18,4317.79
2016-03-06,Copacabana,21,226,2752.51,3592.1
2016-03-06,Noodle Bar,206,294,4673.19,313.93
2016-03-06,Jack Rabbit,157,50,2317.74,916.47
2016-03-07,Copacabana,68,31,1331.27,1730.96
2016-03-07,Noodle Bar,145,89,4548.43,2227.28
2016-03-07,Jack Rabbit,58,18,1974.81,1674.31
2016-03-08,Copacabana,217,208,1760.74,2267.13
2016-03-08,Noodle Bar,231,160,2092.79,3858.25
2016-03-08,Jack Rabbit,242,175,3467.63,1150.59
2016-03-09,Copacabana,164,76,4032.0,1431.37
2016-03-09,Noodle Bar,170,204,3282.76,3186.3
2016-03-09,Jack Rabbit,76,168,3852.82,1598.5
2016-03-10,Copacabana,185,94,2905.06,3133.01
2016-03-10,Noodle Bar,225,9,2282.64,3078.77
2016-03-10,Jack Rabbit,160,191,4422.46,4925.79
2016-03-11,Copacabana,134,212,4169.71,593.56
2016-03-11,Noodle Bar,107,64,621.73,2635.24
2016-03-11,Jack Rabbit,220,151,4334.93,3639.21
2016-03-12,Copacabana,127,156,4795.7,1880.31
2016-03-12,Noodle Bar,156,37,3635.79,460.23
2016-03-12,Jack Rabbit,127,255,4049.63,20.01
2016-03-13,Copacabana,92,111,2241.32,3676.16
2016-03-13,Noodle Bar,84,160,44.7,69.18
2016-03-13,Jack Rabbit,17,149,787.81,3266.95
2016-03-14,Copacabana,157,37,3044.47,3400.27
2016-03-14,Noodle Bar,162,117,3164.55,1255.55
2016-03-14,Jack Rabbit,201,245,1347.37,3199.64
2016-03-15,Copacabana,160,279,3021.89,2078.85
2016-03-15,Noodle Bar,48,267,164.93,4598.84
2016-03-15,Jack Rabbit,293,46,842.45,1557.6
2016-03-16,Copacabana,4,164,4149.59,1938.31
2016-03-16,Noodle Bar,2,244,4304.9,34.79
2016-03-16,Jack Rabbit,110,217,4167.98,1188.94
2016-03-17,Copacabana,203,203,3585.18,1214.8
2016-03-17,Noodle Bar,175,166,2314.36,4488.83
2016-03-17,Jack Rabbit,242,134,1696.06,1298.18
2016-03-18,Copacabana,97,263,294.56,2078.38
2016-03-18,Noodle Bar,29,137,1719.13,1370.53
2016-03-18,Jack Rabbit,110,246,2163.0,1817.65
2016-03-19,Copacabana,74,61,2303.76,3882.68
2016-03-19,Noodle Bar,196,162,2633.58,2460.34
2016-03-19,Jack Rabbit,12,94,4846.43,1791.82
2016-03-20,Copacabana,215,72,128.31,2835.91
2016-03-20,Noodle Bar,49,272,857.62,2351.76
2016-03-20,Jack Rabbit,132,229,1562.94,745.15
2016-03-21,Copacabana,262,223,3489.88,4023.16
2016-03-21,Noodle Bar,225,245,3749.2,2915.11
2016-03-21,Jack Rabbit,266,293,3050.38,1341.83
2016-03-22,Copacabana,65,76,2501.18,2545.62
2016-03-22,Noodle Bar,214,72,3306.22,3818.71
2016-03-22,Jack Rabbit,64,160,3954.84,4574.83
2016-03-23,Copacabana,221,213,2170.85,1343.7
2016-03-23,Noodle Bar,149,206,3585.18,3435.53
2016-03-23,Jack Rabbit,180,191,4245.26,3607.56
2016-03-24,Copacabana,300,184,4198.92,4067.12
2016-03-24,Noodle Bar,215,37,4406.55,4545.88
2016-03-24,Jack Rabbit,27,191,4959.53,1735.75
2016-03-25,Copacabana,142,189,4791.56,4341.33
2016-03-25,Noodle Bar,238,291,1547.95,4398.65
2016-03-25,Jack Rabbit,253,297,3850.53,909.82
2016-03-26,Copacabana,94,288,209.89,2043.85
2016-03-26,Noodle Bar,181,17,2289.06,1500.0
2016-03-26,Jack Rabbit,156,237,4253.13,812.35
2016-03-27,Copacabana,230,225,3045.66,4119.05
2016-03-27,Noodle Bar,91,189,3386.87,17.56
2016-03-27,Jack Rabbit,21,238,3107.24,1080.4
2016-03-28,Copacabana,172,185,378.73,3781.91
2016-03-28,Noodle Bar,136,299,211.11,4149.32
2016-03-28,Jack Rabbit,20,65,4750.6,430.04
2016-03-29,Copacabana,197,146,2119.29,4190.79
2016-03-29,Noodle Bar,206,47,1663.59,3195.81
2016-03-29,Jack Rabbit,143,273,1262.36,3846.25
2016-03-30,Copacabana,173,89,4799.09,4637.56
2016-03-30,Noodle Bar,154,240,1877.29,2804.29
2016-03-30,Jack Rabbit,287,153,264.64,379.98
2016-03-31,Copacabana,29,245,4814.22,1990.44
2016-03-31,Noodle Bar,214,36,3736.46,4137.68
2016-03-31,Jack Rabbit,224,282,3235.37,2397.14
2016-04-01,Copacabana,249,16,1193.87,290.66
2016-04-01,Noodle Bar,160,21,3961.54,1960.7
2016-04-01,Jack Rabbit,83,213,2303.89,866.28
2016-04-02,Copacabana,48,91,3224.63,213.17
2016-04-02,Noodle Bar,212,129,2619.63,1963.35
2016-04-02,Jack Rabbit,90,256,2760.6,3217.79
2016-04-03,Copacabana,228,60,900.5,474.42
2016-04-03,Noodle Bar,106,267,1885.81,2000.91
2016-04-03,Jack Rabbit,118,30,2252.24,3645.03
2016-04-04,Copacabana,55,226,297.51,788.32
2016-04-04,Noodle Bar,258,212,2794.58,2701.43
2016-04-04,Jack Rabbit,190,180,2717.37,4062.08
2016-04-05,Copacabana,2,42,2964.9,2819.26
2016-04-05,Noodle Bar,175,121,2793.86,1678.0
2016-04-05,Jack Rabbit,85,30,3829.53,1187.45
2016-04-06,Copacabana,168,33,4847.93,3933.45
2016-04-06,Noodle Bar,263,170,978.51,2312.22
2016-04-06,Jack Rabbit,176,264,2723.04,1266.43
2016-04-07,Copacabana,54,218,4839.45,4957.26
2016-04-07,Noodle Bar,262,27,4544.42,344.75
2016-04-07,Jack Rabbit,294,198,3077.16,4778.54
2016-04-08,Copacabana,63,94,2180.34,3568.52
2016-04-08,Noodle Bar,201,105,4347.37,3417.49
2016-04-08,Jack Rabbit,129,189,2886.29,2510.77
2016-04-09,Copacabana,76,219,4900.59,3552.89
2016-04-09,Noodle Bar,227,120,4156.29,3893.67
2016-04-09,Jack Rabbit,54,182,723.63,641.73
2016-04-10,Copacabana,49,42,1310.04,4691.79
2016-04-10,Noodle Bar,208,298,1619.24,4414.78
2016-04-10,Jack Rabbit,203,9,4683.35,1902.76
2016-04-11,Copacabana,119,198,4326.94,3917.8
2016-04-11,Noodle Bar,298,37,4884.77,4581.26
2016-04-11,Jack Rabbit,234,233,1576.98,295.42
2016-04-12,Copacabana,71,263,1563.2,2199.9
2016-04-12,Noodle Bar,112,31,2550.89,3344.7
2016-04-12,Jack Rabbit,175,259,2557.4,3914.97
2016-04-13,Copacabana,83,249,975.72,4122.91
2016-04-13,Noodle Bar,44,242,1810.77,3452.24
2016-04-13,Jack Rabbit,31,113,3450.51,4939.3
2016-04-14,Copacabana,137,293,3698.73,2541.67
2016-04-14,Noodle Bar,71,252,1783.95,1389.82
2016-04-14,Jack Rabbit,22,47,1856.43,4541.51
2016-04-15,Copacabana,291,72,3061.22,4178.8
2016-04-15,Noodle Bar,95,56,4879.47,2705.96
2016-04-15,Jack Rabbit,197,139,1756.14,3404.36
2016-04-16,Copacabana,128,141,1263.15,2363.97
2016-04-16,Noodle Bar,156,17,689.55,492.3
2016-04-16,Jack Rabbit,58,43,1036.48,3673.48
2016-04-17,Copacabana,100,124,4578.04,1022.76
2016-04-17,Noodle Bar,112,47,4635.98,1671.22
2016-04-17,Jack Rabbit,1,128,3661.48,3115.56
2016-04-18,Copacabana,235,62,371.72,2084.4
2016-04-18,Noodle Bar,182,94,1527.27,427.58
2016-04-18,Jack Rabbit,227,132,3465.94,1254.55
2016-04-19,Copacabana,129,276,587.91,2149.59
2016-04-19,Noodle Bar,285,65,4974.45,2476.53
2016-04-19,Jack Rabbit,84,27,4525.66,2399.77
2016-04-20,Copacabana,254,231,3072.97,3028.21
2016-04-20,Noodle Bar,75,190,4577.27,1610.55
2016-04-20,Jack Rabbit,27,283,3444.14,1911.91
2016-04-21,Copacabana,269,273,3275.58,49.21
2016-04-21,Noodle Bar,100,235,66.03,1333.47
2016-04-21,Jack Rabbit,14,219,3711.68,104.47
2016-04-22,Copacabana,243,268,2533.16,570.73
2016-04-22,Noodle Bar,163,232,4441.5,962.05
2016-04-22,Jack Rabbit,217,155,1912.54,871.2
2016-04-23,Copacabana,154,152,4527.87,497.1
2016-04-23,Noodle Bar,197,9,2783.2,908.12
2016-04-23,Jack Rabbit,152,14,2821.31,1885.5
2016-04-24,Copacabana,146,217,441.58,3786.08
2016-04-24,Noodle Bar,111,21,2044.35,1670.74
2016-04-24,Jack Rabbit,117,122,3615.28,2718.81
2016-04-25,Copacabana,102,115,920.23,733.74
2016-04-25,Noodle Bar,58,163,2613.89,4639.04
2016-04-25,Jack Rabbit,31,251,1045.94,2847.56
2016-04-26,Copacabana,137,53,1009.26,1279.06
2016-04-26,Noodle Bar,53,94,1380.78,3302.09
2016-04-26,Jack Rabbit,268,118,2602.96,4099.68
2016-04-27,Copacabana,291,249,920.47,390.88
2016-04-27,Noodle Bar,102,263,4376.63,1043.31
2016-04-27,Jack Rabbit,259,292,4959.47,819.02
2016-04-28,Copacabana,170,253,4286.0,4959.17
2016-04-28,Noodle Bar,103,80,1425.25,496.76
2016-04-28,Jack Rabbit,157,272,4749.46,2314.62
2016-04-29,Copacabana,110,138,2147.02,2132.14
2016-04-29,Noodle Bar,123,271,4889.65,466.32
2016-04-29,Jack Rabbit,226,198,1160.66,515.22
2016-04-30,Copacabana,240,64,468.45,1193.54
2016-04-30,Noodle Bar,241,208,215.84,128.0
2016-04-30,Jack Rabbit,295,247,4736.78,4912.84
2016-05-01,Copacabana,182,82,1241.98,1046.81
2016-05-01,Noodle Bar,296,59,2326.29,2377.0
2016-05-01,Jack Rabbit,162,105,1737.7,2078.24
2016-05-02,Copacabana,35,291,3610.72,3601.56
2016-05-02,Noodle Bar,212,35,4160.93,1252.41
2016-05-02,Jack Rabbit,178,136,472.57,1311.49
2016-05-03,Copacabana,183,141,991.67,4176.77
2016-05-03,Noodle Bar,63,209,3224.18,2344.6
2016-05-03,Jack Rabbit,40,260,3473.38,1404.82
2016-05-04,Copacabana,8,208,1027.17,678.16
2016-05-04,Noodle Bar,282,256,1536.04,4317.07
2016-05-04,Jack Rabbit,246,121,115.35,272.01
2016-05-05,Copacabana,16,88,1431.21,87.49
2016-05-05,Noodle Bar,100,45,4229.34,692.68
2016-05-05,Jack Rabbit,158,57,4425.31,2039.69
2016-05-06,Copacabana,88,53,506.31,4232.43
2016-05-06,Noodle Bar,230,271,4467.13,3722.01
2016-05-06,Jack Rabbit,118,29,418.62,12.95
2016-05-07,Copacabana,265,292,438.91,2307.24
2016-05-07,Noodle Bar,294,182,4542.53,4643.65
2016-05-07,Jack Rabbit,29,242,550.3,812.78
2016-05-08,Copacabana,205,114,4947.53,3292.05
2016-05-08,Noodle Bar,14,14,1780.96,2392.76
2016-05-08,Jack Rabbit,192,138,809.36,4471.93
2016-05-09,Copacabana,228,100,1288.83,4776.81
2016-05-09,Noodle Bar,105,116,2552.22,1155.56
2016-05-09,Jack Rabbit,36,142,3366.21,1249.12
2016-05-10,Copacabana,38,199,454.05,4408.72
2016-05-10,Noodle Bar,107,37,1851.18,259.5
2016-05-10,Jack Rabbit,27,234,1400.47,1940.43
2016-05-11,Copacabana,228,33,488.42,1864.92
2016-05-11,Noodle Bar,282,51,4826.52,1543.7
2016-05-11,Jack Rabbit,251,116,3849.81,4106.0
2016-05-12,Copacabana,156,121,1760.94,4791.8
2016-05-12,Noodle Bar,281,54,4401.34,2145.51
2016-05-12,Jack Rabbit,75,159,2625.64,1616.39
2016-05-13,Copacabana,166,271,4214.73,2494.4
2016-05-13,Noodle Bar,73,269,3061.45,276.8
2016-05-13,Jack Rabbit,104,40,2834.67,2622.07
2016-05-14,Copacabana,103,235,3681.56,357.55
2016-05-14,Noodle Bar,91,261,4467.71,2530.99
2016-05-14,Jack Rabbit,284,235,4257.17,907.52
2016-05-15,Copacabana,70,203,4544.38,4965.47
2016-05-15,Noodle Bar,165,39,1250.9,358.12
2016-05-15,Jack Rabbit,2,110,2490.61,4948.65
2016-05-16,Copacabana,5,287,4748.52,17.0
2016-05-16,Noodle Bar,102,193,2924.13,3386.1
2016-05-16,Jack Rabbit,70,138,1235.0,3220.42
2016-05-17,Copacabana,232,236,940.87,3072.92
2016-05-17,Noodle Bar,199,0,2308.65,3216.92
2016-05-17,Jack Rabbit,187,119,4798.57,565.22
2016-05-18,Copacabana,56,37,4604.46,2548.5
2016-05-18,Noodle Bar,3,199,747.23,3661.06
2016-05-18,Jack Rabbit,299,23,2418.55,2125.4
2016-05-19,Copacabana,235,274,1872.58,3422.7
2016-05-19,Noodle Bar,113,116,3967.49,2154.9
2016-05-19,Jack Rabbit,288,108,1542.4,656.36
2016-05-20,Copacabana,244,19,2464.29,3462.46
2016-05-20,Noodle Bar,7,291,4436.52,356.43
2016-05-20,Jack Rabbit,67,44,4931.37,2300.27
2016-05-21,Copacabana,122,269,2921.15,2258.54
2016-05-21,Noodle Bar,280,184,1025.08,3494.25
2016-05-21,Jack Rabbit,59,233,1197.5,3122.39
2016-05-22,Copacabana,209,43,2141.56,4663.5
2016-05-22,Noodle Bar,152,261,684.31,978.24
2016-05-22,Jack Rabbit,61,16,311.55,117.82
2016-05-23,Copacabana,295,121,276.42,3507.73
2016-05-23,Noodle Bar,110,146,2982.86,3826.52
2016-05-23,Jack Rabbit,12,272,4564.65,1001.43
2016-05-24,Copacabana,104,238,1427.24,4177.13
2016-05-24,Noodle Bar,235,228,3875.58,3766.02
2016-05-24,Jack Rabbit,122,111,539.75,3647.28
2016-05-25,Copacabana,298,202,4981.92,4041.58
2016-05-25,Noodle Bar,182,31,4111.6,2213.05
2016-05-25,Jack Rabbit,232,63,961.32,2021.73
2016-05-26,Copacabana,175,234,1649.4,581.72
2016-05-26,Noodle Bar,290,209,1474.44,4420.89
2016-05-26,Jack Rabbit,187,203,4321.15,3293.92
2016-05-27,Copacabana,86,87,1150.33,4085.17
2016-05-27,Noodle Bar,261,20,3302.09,482.56
2016-05-27,Jack Rabbit,202,37,4561.34,4998.38
2016-05-28,Copacabana,33,171,3545.55,354.05
2016-05-28,Noodle Bar,36,270,19.59,1690.63
2016-05-28,Jack Rabbit,240,25,1887.79,181.77
2016-05-29,Copacabana,44,121,3598.05,4310.75
2016-05-29,Noodle Bar,206,66,1066.25,3706.27
2016-05-29,Jack Rabbit,180,187,3245.64,4480.88
2016-05-30,Copacabana,61,295,1277.32,245.57
2016-05-30,Noodle Bar,180,138,4701.67,689.76
2016-05-30,Jack Rabbit,133,274,716.16,2910.04
2016-05-31,Copacabana,19,143,4294.23,4664.74
2016-05-31,Noodle Bar,201,192,4689.98,1344.55
2016-05-31,Jack Rabbit,53,198,2982.01,1631.6
2016-06-01,Copacabana,65,38,1732.88,1621.22
2016-06-01,Noodle Bar,175,133,980.23,3683.37
2016-06-01,Jack Rabbit,271,198,3816.06,4713.84
2016-06-02,Copacabana,137,40,4446.68,1958.55
2016-06-02,Noodle Bar,0,153,4350.35,3971.82
2016-06-02,Jack Rabbit,0,282,526.97,2044.62
2016-06-03,Copacabana,43,242,2102.12,3070.97
2016-06-03,Noodle Bar,109,84,4032.15,3198.53
2016-06-03,Jack Rabbit,140,122,2576.01,373.3
2016-06-04,Copacabana,41,154,1243.08,1912.87
2016-06-04,Noodle Bar,224,102,4051.19,4404.01
2016-06-04,Jack Rabbit,49,261,3196.68,3845.71
2016-06-05,Copacabana,144,296,3780.61,3907.17
2016-06-05,Noodle Bar,61,41,2153.73,4603.82
2016-06-05,Jack Rabbit,60,287,2949.38,4542.68
2016-06-06,Copacabana,190,70,4986.41,789.64
2016-06-06,Noodle Bar,213,31,1959.13,1605.13
2016-06-06,Jack Rabbit,154,133,3683.09,3854.71
2016-06-07,Copacabana,163,144,4601.67,2285.44
2016-06-07,Noodle Bar,38,110,4632.31,3055.22
2016-06-07,Jack Rabbit,199,139,2974.64,455.13
2016-06-08,Copacabana,131,149,985.53,2646.27
2016-06-08,Noodle Bar,67,20,838.06,3894.04
2016-06-08,Jack Rabbit,216,272,2888.52,973.78
2016-06-09,Copacabana,32,5,582.24,601.08
2016-06-09,Noodle Bar,61,22,3966.7,848.3
2016-06-09,Jack Rabbit,0,47,1070.93,4145.35
2016-06-10,Copacabana,148,165,206.23,1317.92
2016-06-10,Noodle Bar,159,177,422.94,4923.15
2016-06-10,Jack Rabbit,46,176,2295.35,2832.98
2016-06-11,Copacabana,18,281,4787.04,3215.7
2016-06-11,Noodle Bar,232,122,4892.6,2830.04
2016-06-11,Jack Rabbit,161,23,2582.56,3588.06
2016-06-12,Copacabana,118,165,1928.03,1335.35
2016-06-12,Noodle Bar,219,270,2425.61,2445.02
2016-06-12,Jack Rabbit,33,110,3700.36,2263.83
2016-06-13,Copacabana,253,30,791.36,3737.22
